"time_s","concentration_pM","sensor_config","surface_occupancy","gamma_mol_m2","sensor_area_m2","N_bound","source"
"0","0.5","full_boundary","0","0","8E-10","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","0.5","full_boundary","0.00059318801773696","4.92346054721677E-15","8E-10","2.37198179533168","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","0.5","full_boundary","0.00288375745317989","2.39351868613931E-14","8E-10","11.531285151697","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","0.5","full_boundary","0.00557115244777976","4.6240565316572E-14","8E-10","22.2773754526696","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","0.5","full_boundary","0.0104128450331087","8.64266137748024E-14","8E-10","41.6378586849612","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","0.5","full_boundary","0.0182968308911334","1.51863696396407E-13","8E-10","73.1635644826456","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","0.5","full_boundary","0.0242920885432946","2.01624334909345E-13","8E-10","97.1368100372365","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","1","full_boundary","0","0","8E-10","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","1","full_boundary","0.0011856727086302","9.84108348163068E-15","8E-10","4.74115119658327","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","1","full_boundary","0.00575093061732934","4.77327241238336E-14","8E-10","22.9962546825579","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","1","full_boundary","0.0110805733323164","9.1968758658226E-14","8E-10","44.3079048129844","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","1","full_boundary","0.0206110701863999","1.71071882547119E-13","8E-10","82.4175165421552","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","1","full_boundary","0.0359361442284397","2.9826999709605E-13","8E-10","143.697912559776","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","1","full_boundary","0.0474319558161222","3.93685233273815E-13","8E-10","189.666231192668","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","10","full_boundary","0","0","8E-10","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","10","full_boundary","0.011731539193633","9.73717753071537E-14","8E-10","46.9109229560618","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","10","full_boundary","0.0546791996240522","4.53837356879633E-13","8E-10","218.645795622041","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","10","full_boundary","0.100757659599318","8.36288574674343E-13","8E-10","402.899801013493","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","10","full_boundary","0.173859777225179","1.44303615096899E-12","8E-10","695.213345832308","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","10","full_boundary","0.271538894422133","2.25377282370371E-12","8E-10","1085.80297483251","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","10","full_boundary","0.332415501670682","2.75904866386666E-12","8E-10","1329.23035339959","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","100","full_boundary","0","0","8E-10","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","100","full_boundary","0.106111708890554","8.80727183791595E-13","8E-10","424.30904575611","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","100","full_boundary","0.366454866870945","3.04157539502884E-12","8E-10","1465.3436128813","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","100","full_boundary","0.52840706412256","4.38577863221724E-12","8E-10","2112.942101233","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","100","full_boundary","0.677885138997892","5.62644665368251E-12","8E-10","2710.66029816856","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","100","full_boundary","0.788474789829964","6.5443407555887E-12","8E-10","3152.87529692479","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","100","full_boundary","0.832758501446637","6.91189556200708E-12","8E-10","3329.95263942608","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","1000","full_boundary","0","0","8E-10","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","1000","full_boundary","0.542769395804632","4.50498598517844E-12","8E-10","2170.37277796575","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","1000","full_boundary","0.852598579198514","7.07656820734767E-12","8E-10","3409.28718739108","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","1000","full_boundary","0.918064541201902","7.61993569197578E-12","8E-10","3671.06602553809","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","1000","full_boundary","0.954637883125046","7.92349442993788E-12","8E-10","3817.31190145295","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","1000","full_boundary","0.973873755574184","8.08315217126573E-12","8E-10","3894.23041278895","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","1000","full_boundary","0.980312546901689","8.13659413928402E-12","8E-10","3919.97721710075","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
