"time_s","concentration_pM","sensor_config","surface_occupancy","gamma_mol_m2","sensor_area_m2","N_bound","source"
"0","0.5","local_sensor","0","0","4E-11","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","0.5","local_sensor","0.00059318801773696","4.92346054721677E-15","4E-11","0.118599089766584","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","0.5","local_sensor","0.00288375745317989","2.39351868613931E-14","4E-11","0.576564257584848","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","0.5","local_sensor","0.00557115244777976","4.6240565316572E-14","4E-11","1.11386877263348","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","0.5","local_sensor","0.0104128450331087","8.64266137748024E-14","4E-11","2.08189293424806","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","0.5","local_sensor","0.0182968308911334","1.51863696396407E-13","4E-11","3.65817822413228","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","0.5","local_sensor","0.0242920885432946","2.01624334909345E-13","4E-11","4.85684050186183","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","1","local_sensor","0","0","4E-11","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","1","local_sensor","0.0011856727086302","9.84108348163068E-15","4E-11","0.237057559829163","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","1","local_sensor","0.00575093061732934","4.77327241238336E-14","4E-11","1.14981273412789","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","1","local_sensor","0.0110805733323164","9.1968758658226E-14","4E-11","2.21539524064922","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","1","local_sensor","0.0206110701863999","1.71071882547119E-13","4E-11","4.12087582710776","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","1","local_sensor","0.0359361442284397","2.9826999709605E-13","4E-11","7.18489562798881","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","1","local_sensor","0.0474319558161222","3.93685233273815E-13","4E-11","9.48331155963339","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","10","local_sensor","0","0","4E-11","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","10","local_sensor","0.011731539193633","9.73717753071537E-14","4E-11","2.34554614780309","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","10","local_sensor","0.0546791996240522","4.53837356879633E-13","4E-11","10.932289781102","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","10","local_sensor","0.100757659599318","8.36288574674343E-13","4E-11","20.1449900506747","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","10","local_sensor","0.173859777225179","1.44303615096899E-12","4E-11","34.7606672916154","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","10","local_sensor","0.271538894422133","2.25377282370371E-12","4E-11","54.2901487416256","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","10","local_sensor","0.332415501670682","2.75904866386666E-12","4E-11","66.4615176699797","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","100","local_sensor","0","0","4E-11","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","100","local_sensor","0.106111708890554","8.80727183791595E-13","4E-11","21.2154522878055","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","100","local_sensor","0.366454866870945","3.04157539502884E-12","4E-11","73.2671806440652","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","100","local_sensor","0.52840706412256","4.38577863221724E-12","4E-11","105.64710506165","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","100","local_sensor","0.677885138997892","5.62644665368251E-12","4E-11","135.533014908428","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","100","local_sensor","0.788474789829964","6.5443407555887E-12","4E-11","157.64376484624","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","100","local_sensor","0.832758501446637","6.91189556200708E-12","4E-11","166.497631971304","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"0","1000","local_sensor","0","0","4E-11","0","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"100","1000","local_sensor","0.542769395804632","4.50498598517844E-12","4E-11","108.518638898287","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"500","1000","local_sensor","0.852598579198514","7.07656820734767E-12","4E-11","170.464359369554","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"1000","1000","local_sensor","0.918064541201902","7.61993569197578E-12","4E-11","183.553301276905","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"2000","1000","local_sensor","0.954637883125046","7.92349442993788E-12","4E-11","190.865595072647","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"4000","1000","local_sensor","0.973873755574184","8.08315217126573E-12","4E-11","194.711520639447","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
"6000","1000","local_sensor","0.980312546901689","8.13659413928402E-12","4E-11","195.998860855038","M3 recomputed from M2_comsol_sensor_surface_concentration.csv"
